Garrett Abbey,Garrett Abbey (NJ),1600/1600 Singles/Doubles Points AMATEUR
GARRETT BODILY,GARRETT BODILY (UT),802/802 Singles/Doubles Points BEGINNER
Garrett Davis,Garrett Davis (),1182/1182 Singles/Doubles Points ROOKIE
Garrett Francis,Garrett Francis (CAN),2054/1827 Singles/Doubles Points EXPERT
GARRETT OGATA,GARRETT OGATA (MD),1182/1182 Singles/Doubles Points ROOKIE
GARRETT SCHIFFMAN,GARRETT SCHIFFMAN (UT),801/801 Singles/Doubles Points BEGINNER
GARRETT WORKMAN,GARRETT WORKMAN (SC),801/801 Singles/Doubles Points BEGINNER
GARRICK WRENN,GARRICK WRENN (NV),2410/3118 Singles/Doubles Points PRO
GARRY BURGARDT,GARRY BURGARDT (CAN),1966/2116 Singles/Doubles Points EXPERT
GARRY DENNING,GARRY DENNING (WA),1800/1800 Singles/Doubles Points AMATEUR
GARRY DUDLEA,GARRY DUDLEA (TN),1800/1800 Singles/Doubles Points AMATEUR
GARRY DUQUETTE,GARRY DUQUETTE (OR),1832/1840 Singles/Doubles Points AMATEUR
GARRY GURGARDT,GARRY GURGARDT (AB),1800/1800 Singles/Doubles Points AMATEUR
Garry Koska,Garry Koska (OH),1190/1182 Singles/Doubles Points ROOKIE
GARRY NICHOLS,GARRY NICHOLS (CA),1800/1800 Singles/Doubles Points AMATEUR
GARTH CHOUTEAU,GARTH CHOUTEAU (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY A. HILMES,GARY A. HILMES (IL),1800/1800 Singles/Doubles Points AMATEUR
GARY ANDERSON,GARY ANDERSON (KY),1182/1182 Singles/Doubles Points ROOKIE
GARY ARMSTRONG,GARY ARMSTRONG (OK),1182/1182 Singles/Doubles Points ROOKIE
GARY BALES,GARY BALES (IA),1800/1800 Singles/Doubles Points AMATEUR
GARY BARNETTE,GARY BARNETTE (GA),1800/1800 Singles/Doubles Points AMATEUR
GARY BENNIS,GARY BENNIS (WI),3100/3137 Singles/Doubles Points PRO
GARY BERGER,GARY BERGER (CT),1182/1182 Singles/Doubles Points ROOKIE
GARY BJORKLUND,GARY BJORKLUND (MA),1800/1800 Singles/Doubles Points AMATEUR
GARY BROWN JR,GARY BROWN JR (WI),1182/1182 Singles/Doubles Points ROOKIE
GARY BRUBAKER,GARY BRUBAKER (TX),1182/1182 Singles/Doubles Points ROOKIE
Gary Buckway,Gary Buckway (UT),800/800 Singles/Doubles Points BEGINNER
GARY CACCIATORE,GARY CACCIATORE (CA),1800/1800 Singles/Doubles Points AMATEUR
Gary Carouthers,Gary Carouthers (TN),1000/800 Singles/Doubles Points ROOKIE
GARY CARR,GARY CARR (NH),1182/1182 Singles/Doubles Points ROOKIE
GARY CHIRHART,GARY CHIRHART (MI),3195/3642 Singles/Doubles Points PRO
GARY CHRISTIE,GARY CHRISTIE (NY),1800/1800 Singles/Doubles Points AMATEUR
