BRUCE BAKER,BRUCE BAKER (AL),1182/1182 Singles/Doubles Points ROOKIE
BRUCE BALLOU,BRUCE BALLOU (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE BARKER,BRUCE BARKER (MD),1182/1182 Singles/Doubles Points ROOKIE
BRUCE BEAN,BRUCE BEAN (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE BEARD,BRUCE BEARD (MS),1182/1182 Singles/Doubles Points ROOKIE
BRUCE BLAIR,BRUCE BLAIR (TX),2300/2418 Singles/Doubles Points EXPERT
BRUCE CALDWELL,BRUCE CALDWELL (AL),1182/1182 Singles/Doubles Points ROOKIE
BRUCE CARLEY,BRUCE CARLEY (CO),1800/1800 Singles/Doubles Points AMATEUR
BRUCE CHIDESTER,BRUCE CHIDESTER (XX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE COFER,BRUCE COFER (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE COLE,BRUCE COLE (AK),1182/1182 Singles/Doubles Points ROOKIE
BRUCE CURRAN,BRUCE CURRAN (IA),1800/1800 Singles/Doubles Points AMATEUR
Bruce Danville,BRUCE CURRAN (IA),1800/1800 Singles/Doubles Points AMATEUR
BRUCE DHEIN,Bruce Danville (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
BRUCE DOANE,BRUCE DOANE (MN),1800/1800 Singles/Doubles Points AMATEUR
Bruce Dudley,Bruce Dudley (TX),1800/1808 Singles/Doubles Points AMATEUR
BRUCE DYAL,BRUCE DYAL (KY),1182/1182 Singles/Doubles Points ROOKIE
BRUCE ENGART,BRUCE ENGART (PA),1182/1182 Singles/Doubles Points ROOKIE
BRUCE ENGLISH,BRUCE ENGLISH (OK),1800/1800 Singles/Doubles Points AMATEUR
Bruce Feltmeyer,Bruce A Feltmeyer (OH),1105/1122 Singles/Doubles Points ROOKIE
BRUCE FOCHS,BRUCE FOCHS (WI),1800/1800 Singles/Doubles Points AMATEUR
BRUCE FRYER,BRUCE FRYER (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE GABBERT,BRUCE GABBERT (SD),1800/1800 Singles/Doubles Points AMATEUR
BRUCE GARNER,BRUCE GARNER (WA),1800/1800 Singles/Doubles Points AMATEUR
BRUCE GUILLOT,BRUCE GUILLOT (LA),1800/1800 Singles/Doubles Points AMATEUR
BRUCE HAMBAUGH,BRUCE HAMBAUGH (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE HOLLEY,BRUCE HOLLEY (MO),1182/1182 Singles/Doubles Points ROOKIE
BRUCE HUBBARD,BRUCE HUBBARD (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE JENKINS,BRUCE JENKINS (NY),1800/1800 Singles/Doubles Points AMATEUR
BRUCE JONES,BRUCE JONES (CO),1808/2196 Singles/Doubles Points EXPERT
BRUCE KAHZEN,BRUCE KAHZEN (TX),1800/1800 Singles/Doubles Points AMATEUR
BRUCE KAZEN,BRUCE KAZEN (),1800/1784 Singles/Doubles Points AMATEUR
BRUCE KILLIAN,BRUCE KILLIAN (OK),1800/1800 Singles/Doubles Points AMATEUR
BRUCE KING,BRUCE KING (AR),1755/1624 Singles/Doubles Points AMATEUR
BRUCE KOLPACK,BRUCE KOLPACK (WA),1800/1800 Singles/Doubles Points AMATEUR
Bruce Landers,Bruce Landers (CO),801/801 Singles/Doubles Points BEGINNER
BRUCE LANKFORD,BRUCE LANKFORD (FL),1800/1800 Singles/Doubles Points AMATEUR
BRUCE LEE,BRUCE LEE (CA),1182/1182 Singles/Doubles Points ROOKIE
BRUCE LEMON,BRUCE LEMON (CT),1182/1182 Singles/Doubles Points ROOKIE
Bruce Majors,BRUCE MAJORS (TN),1958/2040 Singles/Doubles Points EXPERT
BRUCE MAJORS,BRUCE MAJORS (TN),1958/2040 Singles/Doubles Points EXPERT
