Robin Diachinsky,Robin Diachinsky (CAN),810/800 Singles/Doubles Points BEGINNER
ROBIN ECKSTEIN,ROBIN ECKSTEIN (WI),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
ROBIN GELTZ,ROBIN GELTZ (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBIN HANKE,ROBIN HANKE (DE),2476/2428 Singles/Doubles Points EXPERT
ROBIN HARRIS,ROBIN HARRIS (NM),1800/1800 Singles/Doubles Points AMATEUR
Robin Jurinka,Robin Jurinka (Unterschleissheim),1600/1600 Singles/Doubles Points AMATEUR
ROBIN PERKINS,ROBIN PERKINS (MO),1800/1800 Singles/Doubles Points AMATEUR
ROBIN PRICE,ROBIN PRICE (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBIN REAGAN,ROBIN REAGAN (CT),1182/1182 Singles/Doubles Points ROOKIE
ROBIN RIECKS,ROBIN RIECKS (WA),1800/1800 Singles/Doubles Points AMATEUR
Robin Scheuermann,Robin Scheuermann (IA),1800/1800 Singles/Doubles Points AMATEUR
ROBIN SPENCER,ROBIN SPENCER (NC),1800/1800 Singles/Doubles Points AMATEUR
ROBIN UNFER,ROBIN SPENCER (NC),1800/1800 Singles/Doubles Points AMATEUR
Robin Valle,ROBIN UNFER (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBIN VOGLER,ROBIN VOGLER (WA),1800/1800 Singles/Doubles Points AMATEUR
ROBIN WELCH,ROBIN WELCH (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBY ALLEN,ROBY ALLEN (MS),1182/1182 Singles/Doubles Points ROOKIE
Robyn Hester-Davis,Robyn K Hester-Davis (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBYN MCKEE,ROBYN MCKEE (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBYN WATHAN,ROBYN WATHAN (OK),1800/1800 Singles/Doubles Points AMATEUR
Rocco Barletta,Rocco Barletta (MD),2242/2361 Singles/Doubles Points EXPERT
Rocco Raven,Rocco Raven (Sittars),3500/3500 Singles/Doubles Points PRO
ROCKIE BLECK,ROCKIE BLECK (WI),1800/1800 Singles/Doubles Points AMATEUR
ROCKY ENRIQUEZ,ROCKY ENRIQUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
ROCKY NELSON,ROCKY NELSON (TX),1800/1800 Singles/Doubles Points AMATEUR
ROCKY RYAN,ROCKY RYAN (LA),1800/1800 Singles/Doubles Points AMATEUR
ROCKY SCHAEFER,ROCKY SCHAEFER (MN),1800/1800 Singles/Doubles Points AMATEUR
ROCKY WILLSON,ROCKY WILLSON (WA),2064/2176 Singles/Doubles Points EXPERT
ROD ARRIES,ROD ARRIES (MN),1800/1800 Singles/Doubles Points AMATEUR
ROD CUNNINGHAM,ROD CUNNINGHAM (TX),1800/1800 Singles/Doubles Points AMATEUR
ROD DREBLOW,ROD DREBLOW (WI),1182/1182 Singles/Doubles Points ROOKIE
ROD ELLSWORTH,ROD ELLSWORTH (ID),1800/1800 Singles/Doubles Points AMATEUR
ROD FILTZ,ROD FILTZ (MN),1800/1800 Singles/Doubles Points AMATEUR
ROD GROSS,ROD GROSS (FL),1800/1800 Singles/Doubles Points AMATEUR
ROD HARMES,ROD HARMES (WA),2264/2264 Singles/Doubles Points EXPERT
ROD HARRELL,ROD HARRELL (LA),1800/1800 Singles/Doubles Points AMATEUR
ROD HETRICK,ROD HETRICK (FL),1800/1800 Singles/Doubles Points AMATEUR
ROD JACOBSON,ROD JACOBSON (NM),1800/1800 Singles/Doubles Points AMATEUR
ROD JORDAN,ROD JORDAN (WA),1800/1800 Singles/Doubles Points AMATEUR
ROD KIKER,ROD KIKER (OK),1182/1182 Singles/Doubles Points ROOKIE
ROD MATTHEWS,ROD MATTHEWS (NC),1182/1182 Singles/Doubles Points ROOKIE
ROD MCGEHEE,ROD MCGEHEE (OK),1800/1800 Singles/Doubles Points AMATEUR
ROD MCSEHR,ROD MCSEHR (OK),1800/1800 Singles/Doubles Points AMATEUR
ROD ROMO,ROD ROMO (CA),1800/1800 Singles/Doubles Points AMATEUR
ROD SHOGREN,ROD SHOGREN (IA),1800/1800 Singles/Doubles Points AMATEUR
ROD WORDEN,ROD WORDEN (MI),1182/1182 Singles/Doubles Points ROOKIE
ROD WYMER,ROD WYMER (TX),1800/1800 Singles/Doubles Points AMATEUR
Roddy Reef,Roddy Reef (CO),1001/1001 Singles/Doubles Points ROOKIE
RODERMOND LOTHAR,RODERMOND LOTHAR (GE),1800/1800 Singles/Doubles Points AMATEUR
RODGER CRANDALL,RODGER CRANDALL (TX),1800/1800 Singles/Doubles Points AMATEUR
RODGER NICCUM,RODGER CRANDALL (TX),1800/1800 Singles/Doubles Points AMATEUR
RODNEY ADAMS,RODGER NICCUM (IN),1800/1800 Singles/Doubles Points AMATEUR
RODNEY BROCK,RODNEY BROCK (CT),1182/1182 Singles/Doubles Points ROOKIE
Rodney Castaneda,Rodney Castaneda (CA),1600/1600 Singles/Doubles Points AMATEUR
RODNEY DENNIS,RODNEY DENNIS (TX),1800/1800 Singles/Doubles Points AMATEUR
RODNEY HACKNEY,RODNEY HACKNEY (AZ),1800/1800 Singles/Doubles Points AMATEUR
RODNEY JENKINS,RODNEY JENKINS (AL),3930/3988 Singles/Doubles Points PRO
RODNEY JOHNSON,RODNEY JOHNSON (IN),1800/1800 Singles/Doubles Points AMATEUR
RODNEY KNIGHT,RODNEY KNIGHT (OK),1800/1800 Singles/Doubles Points AMATEUR
RODNEY LILJESTRAND,RODNEY LILJESTRAND (NE),1182/1182 Singles/Doubles Points ROOKIE
RODNEY MARLOW,RODNEY MARLOW (NC),1800/1800 Singles/Doubles Points AMATEUR
RODNEY MCGEE,RODNEY MCGEE (MS),1182/1182 Singles/Doubles Points ROOKIE
Rodney Powers,Rodney Powers (),801/801 Singles/Doubles Points BEGINNER
RODNEY SIMON JUNIOR,RODNEY SIMON JUNIOR (LA),801/801 Singles/Doubles Points BEGINNER
RODNEY SMITH,RODNEY SMITH (KY),1182/1182 Singles/Doubles Points ROOKIE
RODNEY SNOW,RODNEY SNOW (LA),1182/1182 Singles/Doubles Points ROOKIE
RODNEY WARD,RODNEY WARD (TX),1182/1182 Singles/Doubles Points ROOKIE
Rodolfo Calvo,Rodolfo Calvo (CR),2116/2547 Singles/Doubles Points EXPERT
RODRICK MATTHEWS,RODRICK MATTHEWS (NC),1800/1800 Singles/Doubles Points AMATEUR
RODRIGO RADO,RODRICK MATTHEWS (NC),1800/1800 Singles/Doubles Points AMATEUR
ROEL LOONEN,RODRIGO RADO (CA),1512/1280 Singles/Doubles Points AMATEUR
ROGER AAMODT,ROGER AAMODT (CO),3068/3019 Singles/Doubles Points PRO
ROGER ARTHUR,ROGER ARTHUR (IN),1182/1182 Singles/Doubles Points ROOKIE
Roger Baer,Roger Baer (),1600/1600 Singles/Doubles Points AMATEUR
ROGER BALQUIN,ROGER BALQUIN (CO),1800/1800 Singles/Doubles Points AMATEUR
ROGER BARTOSZEWSKI,ROGER BARTOSZEWSKI (WV),1182/1182 Singles/Doubles Points ROOKIE
Roger Brough,Roger Brough (UT),802/802 Singles/Doubles Points BEGINNER
ROGER CALVILLO,ROGER CALVILLO (XX),1800/1800 Singles/Doubles Points AMATEUR
ROGER CASH,ROGER CASH (OR),1800/1800 Singles/Doubles Points AMATEUR
ROGER COPE,ROGER COPE (OH),801/801 Singles/Doubles Points BEGINNER
Roger Crerie,Roger Crerie (MA),1800/1800 Singles/Doubles Points AMATEUR
ROGER DARNELL,ROGER DARNELL (TX),1800/1800 Singles/Doubles Points AMATEUR
ROGER DEMERS,ROGER DEMERS (NH),3215/2726 Singles/Doubles Points PRO
ROGER FAILOR,ROGER FAILOR (CO),1800/1800 Singles/Doubles Points AMATEUR
ROGER FULTON,ROGER FULTON (OK),1800/1800 Singles/Doubles Points AMATEUR
Roger Ganz,Roger Ganz (Kloten),2600/2600 Singles/Doubles Points EXPERT
ROGER GRAHAM,"ROGER ""Rizage"" GRAHAM (TX)",1800/1800 Singles/Doubles Points AMATEUR
ROGER HALL,ROGER HALL (OK),1800/1800 Singles/Doubles Points AMATEUR
Roger Hamlin,Roger Hamlin (MO),1800/1800 Singles/Doubles Points AMATEUR
ROGER HINKLE,ROGER HINKLE (TX),1800/1800 Singles/Doubles Points AMATEUR
ROGER HOLT,ROGER HOLT (OH),1354/1182 Singles/Doubles Points ROOKIE
ROGER HUNT,ROGER HUNT (NE),1182/1182 Singles/Doubles Points ROOKIE
ROGER HUNT,ROGER HUNT (NE),1182/1182 Singles/Doubles Points ROOKIE
ROGER JARVIS,ROGER JARVIS (OK),1800/1800 Singles/Doubles Points AMATEUR
ROGER JOHNSON,ROGER L JOHNSON (NE),1600/1600 Singles/Doubles Points AMATEUR
ROGER MARTIN,ROGER MARTIN (BC),1800/1800 Singles/Doubles Points AMATEUR
ROGER MASTOWSKI,ROGER MASTOWSKI (NY),1800/1800 Singles/Doubles Points AMATEUR
ROGER MCKENZIE,ROGER MCKENZIE (NE),1800/1800 Singles/Doubles Points AMATEUR
ROGER MCKINNEY,ROGER MCKINNEY (NC),1800/1800 Singles/Doubles Points AMATEUR
ROGER MEEUWSEN,ROGER MEEUWSEN (OR),1800/1800 Singles/Doubles Points AMATEUR
ROGER MORELLA,ROGER MORELLA (NY),1800/1800 Singles/Doubles Points AMATEUR
ROGER MUSSEN,ROGER MUSSEN (OR),1800/1800 Singles/Doubles Points AMATEUR
ROGER NEUMAN,ROGER NEUMAN (WI),1800/1800 Singles/Doubles Points AMATEUR
ROGER OLESON,ROGER OLESON (SD),1800/1800 Singles/Doubles Points AMATEUR
ROGER OLSEN,ROGER OLSEN (MO),1800/1800 Singles/Doubles Points AMATEUR
ROGER OLSON,ROGER OLSON (NV),1800/1800 Singles/Doubles Points AMATEUR
Roger Pazin,Roger Pazin (CAN),801/801 Singles/Doubles Points BEGINNER
ROGER PERRIER,ROGER PERRIER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROGER PHIPPS,ROGER PHIPPS (OK),1800/1800 Singles/Doubles Points AMATEUR
ROGER REINTS,ROGER REINTS (),2100/2100 Singles/Doubles Points EXPERT
ROGER RODRIGUEZ,ROGER REINTS (),2100/2100 Singles/Doubles Points EXPERT
ROGER RUDY,ROGER RODRIGUEZ (TX),3100/3121 Singles/Doubles Points PRO
ROGER SCHWARZ,ROGER SCHWARZ (WI),1800/1800 Singles/Doubles Points AMATEUR
ROGER SHEETS,ROGER SHEETS (CA),1800/1800 Singles/Doubles Points AMATEUR
ROGER SHULL,ROGER SHULL (WA),1182/1182 Singles/Doubles Points ROOKIE
Roger Stillwell,Roger Stillwell (CA),801/801 Singles/Doubles Points BEGINNER
Roger Torgler,Roger Torgler (CO),801/801 Singles/Doubles Points BEGINNER
ROGER TRIPLETT,ROGER TRIPLETT (TX),1800/1800 Singles/Doubles Points AMATEUR
ROGER VANCE,ROGER VANCE (CA),1800/1800 Singles/Doubles Points AMATEUR
ROGER WORD,ROGER WORD (OK),1867/1820 Singles/Doubles Points AMATEUR
Rogerio Goncalves,Rogerio Goncalves (BR),1800/1800 Singles/Doubles Points AMATEUR
ROLAN WARMAN,ROLAN WARMAN (XX),1800/1800 Singles/Doubles Points AMATEUR
ROLAND BARRERA,ROLAND BARRERA (TX),1800/1800 Singles/Doubles Points AMATEUR
ROLAND CASTILLO,ROLAND CASTILLO (TX),1182/1182 Singles/Doubles Points ROOKIE
Roland Facer,ROLAND CASTILLO (TX),1182/1182 Singles/Doubles Points ROOKIE
ROLAND GOMEZ,Roland Facer (CA),801/1114 Singles/Doubles Points ROOKIE
ROLAND MARTINEZ,ROLAND MARTINEZ (TX),1182/1182 Singles/Doubles Points ROOKIE
ROLAND MENTON,ROLAND MENTON (KY),1800/1800 Singles/Doubles Points AMATEUR
ROLAND PEREZ,ROLAND MENTON (KY),1800/1800 Singles/Doubles Points AMATEUR
Roland Prisi,ROLAND PEREZ (TX),1800/1800 Singles/Doubles Points AMATEUR
ROLAND TOEPPE,ROLAND TOEPPE (GE),3100/3100 Singles/Doubles Points PRO
Roland Ullwer,Roland Ullwer (Obergünzburg),1600/1600 Singles/Doubles Points AMATEUR
ROLANDO ENRIQUEZ,ROLANDO ENRIQUEZ (CA),1762/1623 Singles/Doubles Points AMATEUR
ROLF SCHNITZLER,ROLF SCHNITZLER (GE),1800/1800 Singles/Doubles Points AMATEUR
ROLLAND WORMAN,ROLLAND WORMAN (MO),1800/1800 Singles/Doubles Points AMATEUR
ROLLY COLLIER,ROLLY COLLIER (MI),1800/1800 Singles/Doubles Points AMATEUR
ROLLY NORTH,ROLLY NORTH (OH),1800/1800 Singles/Doubles Points AMATEUR
ROMAN BENZ,ROMAN BENZ (),2509/2404 Singles/Doubles Points EXPERT
ROMAN BLENSKI,ROMAN BLENSKI (WI),1924/1962 Singles/Doubles Points AMATEUR
Roman Griesinger,Roman Griesinger (Freiburg),3100/3100 Singles/Doubles Points PRO
Roman Kopriva,Roman Kopriva (),1848/1800 Singles/Doubles Points AMATEUR
Roman Schneider,Roman Schneider (),2460/2468 Singles/Doubles Points EXPERT
ROMAN SCHWARTZ,ROMAN SCHWARTZ (IL),1800/1800 Singles/Doubles Points AMATEUR
ROMAN WEINDL,ROMAN WEINDL (AT),801/801 Singles/Doubles Points BEGINNER
RON ALANIS,RON ALANIS (ON),1800/1800 Singles/Doubles Points AMATEUR
Ron Apodaca,Ron Apodaca (CO),801/823 Singles/Doubles Points BEGINNER
RON ATWELL,RON ATWELL (CO),1800/1800 Singles/Doubles Points AMATEUR
RON AVERKAMP,RON AVERKAMP (IL),1800/1800 Singles/Doubles Points AMATEUR
Ron Baldus,Ron Baldus (IL),1800/1800 Singles/Doubles Points AMATEUR
RON BARTHOLOMEW,RON BARTHOLOMEW (NE),1800/1800 Singles/Doubles Points AMATEUR
Ron Bigham,Ron Bigham (OH),834/800 Singles/Doubles Points BEGINNER
RON BOOS,RON BOOS (MN),1182/1182 Singles/Doubles Points ROOKIE
RON BOUCHARD,RON BOUCHARD (CT),1182/1182 Singles/Doubles Points ROOKIE
RON BOUCHER,RON BOUCHER (NH),1182/1182 Singles/Doubles Points ROOKIE
RON BRABANDER,RON BRABANDER (IA),1800/1800 Singles/Doubles Points AMATEUR
RON BRUTSCHIN,RON BRUTSCHIN (NY),1800/1800 Singles/Doubles Points AMATEUR
RON CHYRKLUND,RON CHYRKLUND (MN),1800/1800 Singles/Doubles Points AMATEUR
RON CORBIN,RON CHYRKLUND (MN),1800/1800 Singles/Doubles Points AMATEUR
RON DAIGLE,RON CORBIN (NY),1800/1800 Singles/Doubles Points AMATEUR
RON ESCOBAR,RON ESCOBAR (CA),2400/2477 Singles/Doubles Points EXPERT
RON FERRETTI,RON FERRETTI (PA),1798/1686 Singles/Doubles Points AMATEUR
RON FEUCHT,RON FEUCHT (MO),1800/1800 Singles/Doubles Points AMATEUR
RON FRAZIER,RON FRAZIER (OK),1800/1800 Singles/Doubles Points AMATEUR
RON GANION,RON GANION (LA),1200/1200 Singles/Doubles Points ROOKIE
RON GARRETT,RON GARRETT (TX),1800/1800 Singles/Doubles Points AMATEUR
RON GAUTHIER,RON GAUTHIER (CO),1800/1800 Singles/Doubles Points AMATEUR
RON GEE,RON GEE (LA),1800/1800 Singles/Doubles Points AMATEUR
RON GIBSON,RON GIBSON (MO),1800/1800 Singles/Doubles Points AMATEUR
RON GREENWALD,RON GREENWALD (WI),2264/2264 Singles/Doubles Points EXPERT
RON GRONFOR,RON GRONFOR (MN),1800/1800 Singles/Doubles Points AMATEUR
RON HAMILTON,RON HAMILTON (TN),1182/1182 Singles/Doubles Points ROOKIE
RON HARDIN SENIOR,RON HARDIN SENIOR (AL),1178/1600 Singles/Doubles Points AMATEUR
RON HAWK,RON HAWK (NY),1800/1800 Singles/Doubles Points AMATEUR
RON HEBESTEIT,RON HEBESTEIT (CO),1800/1800 Singles/Doubles Points AMATEUR
RON HOZEMPA,RON HOZEMPA (NY),1800/1800 Singles/Doubles Points AMATEUR
RON ISHIDI,RON ISHIDI (CO),1182/1182 Singles/Doubles Points ROOKIE
RON KELLER,RON KELLER (CO),1800/1800 Singles/Doubles Points AMATEUR
RON KEMP,RON KEMP (FL),1194/1180 Singles/Doubles Points ROOKIE
Ron King,Ron King (FL),817/1017 Singles/Doubles Points ROOKIE
RON KING,Ron King (FL),817/1017 Singles/Doubles Points ROOKIE
RON LARIVIERE,RON LARIVIERE (IA),1800/1800 Singles/Doubles Points AMATEUR
RON LINDEMANN,RON LINDEMANN (CA),1800/1800 Singles/Doubles Points AMATEUR
RON LINDIG,RON LINDIG (LA),1800/1800 Singles/Doubles Points AMATEUR
RON LUE-SANG,RON LUE-SANG (CA),1182/1182 Singles/Doubles Points ROOKIE
RON MANDLEY,RON MANDLEY (CA),1800/1800 Singles/Doubles Points AMATEUR
RON MARINO,RON MARINO (NY),1800/1800 Singles/Doubles Points AMATEUR
RON MATSUURA,RON MATSUURA (CA),1800/1800 Singles/Doubles Points AMATEUR
Ron Moore,Ron L Moore (IN),1264/1327 Singles/Doubles Points ROOKIE
RON MORRIS,RON MORRIS (OK),1182/1182 Singles/Doubles Points ROOKIE
RON MROZINSKY,RON MROZINSKY (WI),1800/1800 Singles/Doubles Points AMATEUR
RON MULLEN,RON MULLEN (TX),1800/1800 Singles/Doubles Points AMATEUR
RON MUPO,RON MUPO (CA),1800/1800 Singles/Doubles Points AMATEUR
RON NEUSOM,RON MUPO (CA),1800/1800 Singles/Doubles Points AMATEUR
RON NEVOIS,RON NEUSOM (OK),1182/1182 Singles/Doubles Points ROOKIE
RON ODERIRK,RON ODERIRK (WI),1800/1800 Singles/Doubles Points AMATEUR
RON OLSEN,RON OLSEN (MO),1182/1182 Singles/Doubles Points ROOKIE
RON OLSON,"RON ""Ronzilla"" J OLSON (MI)",5200/5200 Singles/Doubles Points MASTER
Ron Ozimek,Aaron Ozimek (KY),600/600 Singles/Doubles Points JUNIOR PRO
RON PARKER,AARON PARKER (OK),1800/1800 Singles/Doubles Points AMATEUR
RON PLYPICK,RON PLYPICK (WA),1800/1800 Singles/Doubles Points AMATEUR
RON PRITHARD,RON PRITHARD (OK),1800/1800 Singles/Doubles Points AMATEUR
RON RATHBONE,RON l RATHBONE (FL),1800/1800 Singles/Doubles Points AMATEUR
RON REEVE,Aaron Reeves (OH),1182/1182 Singles/Doubles Points ROOKIE
Ron Riddle,Ron Riddle (CO),1182/1182 Singles/Doubles Points ROOKIE
RON RILEY,RON RILEY (TX),1800/1800 Singles/Doubles Points AMATEUR
RON ROSSATA,RON ROSSATA (NY),1182/1182 Singles/Doubles Points ROOKIE
RON ROTHMANN,RON ROTHMANN (WI),1800/1800 Singles/Doubles Points AMATEUR
RON SABLETT,RON SABLETT (TX),1800/1800 Singles/Doubles Points AMATEUR
RON SCOTT,RON SCOTT (UT),1800/1800 Singles/Doubles Points AMATEUR
RON SERVICK,RON SERVICK (NC),1800/1800 Singles/Doubles Points AMATEUR
RON SIMMONS,RON SIMMONS (TX),1800/1800 Singles/Doubles Points AMATEUR
RON SIPIORA,RON SIPIORA (CA),5200/5200 Singles/Doubles Points MASTER
RON SIVEY,RON SIVEY (CO),1800/1800 Singles/Doubles Points AMATEUR
RON SIZEMORE,RON SIZEMORE (TX),1800/1800 Singles/Doubles Points AMATEUR
RON SLEETER,RON SLEETER (OR),1800/1800 Singles/Doubles Points AMATEUR
RON SLIMP,RON SLIMP (TX),1182/1182 Singles/Doubles Points ROOKIE
RON STEWART,RON STEWART (WA),1800/1800 Singles/Doubles Points AMATEUR
RON STORALL,RON STORALL (TX),1800/1800 Singles/Doubles Points AMATEUR
RON SUBLETT,RON SUBLETT (TX),1800/1800 Singles/Doubles Points AMATEUR
RON SWIGGUM,RON SUBLETT (TX),1800/1800 Singles/Doubles Points AMATEUR
RON VARTANIAN,RON SWIGGUM (WI),1800/1800 Singles/Doubles Points AMATEUR
RON VIGIL,RON VIGIL (NM),1800/1800 Singles/Doubles Points AMATEUR
RON WARNER,RON WARNER (MO),801/801 Singles/Doubles Points BEGINNER
RON WESOLOWSKI,RON WESOLOWSKI (WI),1800/1800 Singles/Doubles Points AMATEUR
RON WITTWAY,RON WITTWAY (OH),1800/1800 Singles/Doubles Points AMATEUR
RON WRIGHT,RON WRIGHT (CA),1800/1800 Singles/Doubles Points AMATEUR
RON ZEIGLER,RON ZEIGLER (GA),1182/1182 Singles/Doubles Points ROOKIE
RONALD DUBOSE,RONALD DUBOSE (LA),1800/1800 Singles/Doubles Points AMATEUR
Ronald G. Downes,Ronald G. Downes (KS),1182/1182 Singles/Doubles Points ROOKIE
Ronald Nelson,Ronald Nelson (TX),1056/1005 Singles/Doubles Points ROOKIE
RONALD NEWBLE,RONALD NEWBLE (LA),1800/1800 Singles/Doubles Points AMATEUR
RONALD NEWSOM,RONALD NEWBLE (LA),1800/1800 Singles/Doubles Points AMATEUR
RONALD ROCKHOLD,RONALD R NEWSOM (TX),2500/2500 Singles/Doubles Points EXPERT
RONI NEMR,RONI NEMR (ON),1800/1800 Singles/Doubles Points AMATEUR
RONNI OHLIG,RONNI OHLIG (GE),1800/1800 Singles/Doubles Points AMATEUR
RONNIE BALLARD,RONNIE BALLARD (MS),1182/1182 Singles/Doubles Points ROOKIE
RONNIE BARNES,RONNIE BARNES (TX),1800/1800 Singles/Doubles Points AMATEUR
RONNIE BEYE,RONNIE BEYE (CO),1800/1800 Singles/Doubles Points AMATEUR
RONNIE BROWN,RONNIE BROWN (AZ),1800/1800 Singles/Doubles Points AMATEUR
RONNIE BUFFORD,RONNIE BUFFORD (TX),1200/1200 Singles/Doubles Points ROOKIE
RONNIE CHEEK,RONNIE CHEEK (MD),1800/1800 Singles/Doubles Points AMATEUR
Ronnie Davis,Ronnie Davis (OK),837/1115 Singles/Doubles Points ROOKIE
RONNIE DELAUNE,RONNIE DELAUNE (LA),1800/1800 Singles/Doubles Points AMATEUR
RONNIE DRAIN,RONNIE DRAIN (AR),1182/1182 Singles/Doubles Points ROOKIE
Ronnie Falk,Ronnie Falk (Kubbingen),3500/3500 Singles/Doubles Points PRO
RONNIE GARCIA,RONNIE GARCIA (TX),1800/1800 Singles/Doubles Points AMATEUR
Ronnie Garrett,Ronnie Garrett (AZ),1824/2284 Singles/Doubles Points EXPERT
RONNIE GUYER,RONNIE GUYER (MI),1182/1182 Singles/Doubles Points ROOKIE
RONNIE HEDGES,RONNIE HEDGES (TX),1600/1600 Singles/Doubles Points AMATEUR
RONNIE JOHNSON,RONNIE JOHNSON (MO),1800/1800 Singles/Doubles Points AMATEUR
RONNIE JOYNER,RONNIE JOYNER (TX),3500/3480 Singles/Doubles Points PRO
RONNIE KOK,RONNIE KOK (MY),1800/1800 Singles/Doubles Points AMATEUR
RONNIE LEWIS,RONNIE LEWIS (TX),3100/3100 Singles/Doubles Points PRO
RONNIE LONG,RONNIE LONG (GA),1182/1182 Singles/Doubles Points ROOKIE
RONNIE LOVERN,RONNIE LOVERN (MS),1182/1182 Singles/Doubles Points ROOKIE
RONNIE MADERE,RONNIE MADERE (LA),1182/1182 Singles/Doubles Points ROOKIE
RONNIE MALINOSKY,RONNIE MALINOSKY (LA),1182/1182 Singles/Doubles Points ROOKIE
Ronnie Marlow,Ronnie Marlow (KY),801/801 Singles/Doubles Points BEGINNER
RONNIE MOORE,RONNIE MOORE (TX),1800/1800 Singles/Doubles Points AMATEUR
RONNIE MYERS,RONNIE MYERS (AR),1800/1800 Singles/Doubles Points AMATEUR
RONNIE PLEDGER,RONNIE PLEDGER (LA),1182/1182 Singles/Doubles Points ROOKIE
RONNIE RAINER,RONNIE RAINER (MS),1182/1182 Singles/Doubles Points ROOKIE
RONNIE RAMIN,RONNIE RAMIN (TX),1800/1800 Singles/Doubles Points AMATEUR
RONNIE SEARCY,RONNIE SEARCY (MS),1180/1176 Singles/Doubles Points ROOKIE
RONNIE SHIPMAN,RONNIE SHIPMAN (TX),1800/1800 Singles/Doubles Points AMATEUR
RONNIE THOMAS,RONNIE THOMAS (GA),1182/1182 Singles/Doubles Points ROOKIE
RONNIE VAUGHAN,RONNIE VAUGHAN (GA),1182/1182 Singles/Doubles Points ROOKIE
RONNIE WALTHALL,RONNIE WALTHALL (NC),1800/1800 Singles/Doubles Points AMATEUR
RONNIE WHITE,RONNIE WHITE (OK),1182/1182 Singles/Doubles Points ROOKIE
RONNIE WILLIAMS,RONNIE WILLIAMS (TN),1800/1800 Singles/Doubles Points AMATEUR
RONNY BRANNON,RONNY BRANNON (TX),1800/1800 Singles/Doubles Points AMATEUR
Ronny Brozinski,Ronny Brozinski (Visselhövede),2600/2600 Singles/Doubles Points EXPERT
RONNY HILL,RONNY HILL (TX),1800/1800 Singles/Doubles Points AMATEUR
Ronny Kubelke,Ronny Kubelke (),1600/1600 Singles/Doubles Points AMATEUR
Roque Escobar,Roque Escobar (TX),1001/1001 Singles/Doubles Points ROOKIE
RORY ELLIS,RORY ELLIS (TX),1800/1800 Singles/Doubles Points AMATEUR
RORY FRANKLIN,RORY FRANKLIN (CA),1800/1800 Singles/Doubles Points AMATEUR
RORY TYRELL,RORY TYRELL (NY),1800/1800 Singles/Doubles Points AMATEUR
Rory Wiseman,Rory Wiseman (FL),1734/1893 Singles/Doubles Points AMATEUR
ROSS ALEXANDER,ROSS ALEXANDER (CO),1800/1800 Singles/Doubles Points AMATEUR
ROSS ALFSTAD,ROSS ALFSTAD (CO),1800/1800 Singles/Doubles Points AMATEUR
ROSS BOYD,ROSS BOYD (WI),1800/1800 Singles/Doubles Points AMATEUR
ROSS EDWARDS,ROSS EDWARDS (MD),1182/1182 Singles/Doubles Points ROOKIE
ROSS FRIEDMAN,ROSS FRIEDMAN (OH),400/400 Singles/Doubles Points JUNIOR AMATEUR
Ross Lantzy,Ross Lantzy (CO),3622/3374 Singles/Doubles Points PRO
ROSS LARSEN,ROSS C LARSEN (TX),1010/801 Singles/Doubles Points ROOKIE
Ross Louque,Ross Louque (LA),800/800 Singles/Doubles Points BEGINNER
ROSS METZGER,ROSS METZGER (NV),1800/1800 Singles/Doubles Points AMATEUR
ROSS NAGAJI,ROSS NAGAJI (HI),1800/1800 Singles/Doubles Points AMATEUR
ROSS PRINCE,ROSS PRINCE (VA),1800/1800 Singles/Doubles Points AMATEUR
ROSS SHARP,ROSS SHARP (AR),1182/1182 Singles/Doubles Points ROOKIE
ROSS W. GRISWOLD,ROSS W. GRISWOLD (TX),1800/1800 Singles/Doubles Points AMATEUR
ROSSI FINGOLD,ROSSI FINGOLD (ON),1800/1800 Singles/Doubles Points AMATEUR
rothwyn parizo,rothwyn parizo (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
Rouzbeh S.,Rouzbeh S. (),1600/1600 Singles/Doubles Points AMATEUR
Rowan Smeets,Rowan Smeets (Bocholtz),1600/1600 Singles/Doubles Points AMATEUR
ROXANNE EASTMAN,Rowan Smeets (Bocholtz),1600/1600 Singles/Doubles Points AMATEUR
ROY ABSHIRE,ROXANNE EASTMAN (TX),1800/1800 Singles/Doubles Points AMATEUR
ROY ALBERT,ROY ALBERT (CA),1800/1800 Singles/Doubles Points AMATEUR
Roy Benjamin,Roy Benjamin (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
ROY BONURA,ROY BONURA (LA),1182/1182 Singles/Doubles Points ROOKIE
ROY DASILVA,ROY DASILVA (MA),1182/1182 Singles/Doubles Points ROOKIE
ROY DEGLER,ROY DEGLER (OK),1100/1100 Singles/Doubles Points ROOKIE
ROY DELA PENA,ROY DEGLER (OK),1100/1100 Singles/Doubles Points ROOKIE
Roy DuBos,ROY DELA PENA (TX),1800/1800 Singles/Doubles Points AMATEUR
