RAY GRACE,RAY GRACE (OK),1800/1800 Singles/Doubles Points AMATEUR
RAY HARIRI,RAY HARIRI (CA),1800/1800 Singles/Doubles Points AMATEUR
RAY HARTMAN,RAY HARTMAN (MO),1800/1800 Singles/Doubles Points AMATEUR
RAY HERNANDEZ,RAY HERNANDEZ (AZ),1800/1800 Singles/Doubles Points AMATEUR
RAY HOSTETLER,RAY HOSTETLER (MN),1800/1800 Singles/Doubles Points AMATEUR
RAY KUHARICH,RAY KUHARICH (OH),1800/1800 Singles/Doubles Points AMATEUR
RAY LAFUENTE,RAY LAFUENTE (TX),1182/1182 Singles/Doubles Points ROOKIE
RAY LAMAR,RAY LAMAR (AL),1182/1182 Singles/Doubles Points ROOKIE
RAY LE FEBURE,RAY LE FEBURE (WI),1800/1800 Singles/Doubles Points AMATEUR
Ray Lefebvre,Ray Lefebvre (FL),1182/1182 Singles/Doubles Points ROOKIE
RAY LISOWSKI,RAY LISOWSKI (OH),1800/1800 Singles/Doubles Points AMATEUR
RAY MADDUX,RAY MADDUX (FL),2425/2810 Singles/Doubles Points EXPERT
RAY MCCORMICK,RAY MCCORMICK (OK),1800/1800 Singles/Doubles Points AMATEUR
RAY MIRE,RAY MIRE (LA),1800/1800 Singles/Doubles Points AMATEUR
RAY MYERS,RAY MYERS (IN),1182/1182 Singles/Doubles Points ROOKIE
RAY NORTON,RAY NORTON (OK),1800/1800 Singles/Doubles Points AMATEUR
RAY PATEL,RAY PATEL (AR),1800/1800 Singles/Doubles Points AMATEUR
RAY PEARCE,RAY PEARCE (OK),1800/1800 Singles/Doubles Points AMATEUR
RAY POPE,RAY POPE (MS),1182/1182 Singles/Doubles Points ROOKIE
Ray Robichaud,Ray Robichaud (CAN),1019/1132 Singles/Doubles Points ROOKIE
RAY SANCHEZ,RAY SANCHEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
Ray Schneider,Ray Schneider (PA),1202/1850 Singles/Doubles Points AMATEUR
RAY SHUTTER,RAY SHUTTER (TX),1800/1800 Singles/Doubles Points AMATEUR
RAY SIMMONS,RAY SIMMONS (TX),2372/2410 Singles/Doubles Points EXPERT
Ray Sipes,Ray Sipes (OK),3100/3016 Singles/Doubles Points PRO
RAY SPENCER,RAY SPENCER (NY),1800/1800 Singles/Doubles Points AMATEUR
RAY SUCASH,RAY SUCASH (IL),1800/1800 Singles/Doubles Points AMATEUR
RAY SUMMERS,RAY SUMMERS (OK),1800/1800 Singles/Doubles Points AMATEUR
RAY SUTTON,RAY SUTTON (TX),1800/1800 Singles/Doubles Points AMATEUR
RAY THORNTON,RAY THORNTON (OK),1182/1182 Singles/Doubles Points ROOKIE
RAY TOPKOK,RAY TOPKOK (AK),1800/1800 Singles/Doubles Points AMATEUR
RAY VALDEZ,RAY VALDEZ (IA),1182/1182 Singles/Doubles Points ROOKIE
RAY VEBEL,RAY VEBEL (WA),1800/1800 Singles/Doubles Points AMATEUR
RAY VIEN,RAY VIEN (MO),1800/1800 Singles/Doubles Points AMATEUR
RAY VOEGE,RAY VOEGE (IN),1800/1800 Singles/Doubles Points AMATEUR
RAY WEEKES,RAY WEEKES (NY),1800/1800 Singles/Doubles Points AMATEUR
RAY WELLS,RAY WELLS (KY),1800/1800 Singles/Doubles Points AMATEUR
RAY WHITE,RAY WHITE (NY),1800/1800 Singles/Doubles Points AMATEUR
RAY WONG,RAY WONG (CN),1182/1182 Singles/Doubles Points ROOKIE
RAY WORD,RAY WORD (TX),1800/1800 Singles/Doubles Points AMATEUR
RAYMO GRILLO,RAYMO GRILLO (OK),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND BACON,RAYMOND BACON (TX),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND BORDONARO,RAYMOND BORDONARO (NY),1800/1800 Singles/Doubles Points AMATEUR
RAYMOND BURDGICK,RAYMOND BURDGICK (MI),1182/1182 Singles/Doubles Points ROOKIE
RAYMOND COOK,RAYMOND COOK (MA),1182/1182 Singles/Doubles Points ROOKIE
RAYMOND CORDOVA,RAYMOND CORDOVA (CO),1984/2266 Singles/Doubles Points EXPERT
RAYMOND COTA,RAYMOND COTA (CA),1933/1291 Singles/Doubles Points AMATEUR
